requirement,intent,entity,pattern_id
restrict customer access to registered users,AUTHENTICATION,customer,186
restrict ticket access to registered users,AUTHENTICATION,ticket,186
restrict teacher access to registered users,AUTHENTICATION,teacher,186
restrict order access to registered users,AUTHENTICATION,order,186
verify user credentials,AUTHENTICATION,none,187
implement sign in and sign out,AUTHENTICATION,none,188
protect tickets with a password,AUTHENTICATION,ticket,189
protect patients with a password,AUTHENTICATION,patient,189
protect books with a password,AUTHENTICATION,book,189
protect doctors with a password,AUTHENTICATION,doctor,189
secure login for the vehicle api,AUTHENTICATION,vehicle,190
secure login for the employee api,AUTHENTICATION,employee,190
secure login for the hotel api,AUTHENTICATION,hotel,190
secure login for the customer api,AUTHENTICATION,customer,190
restrict the api to authorized accounts,AUTHENTICATION,none,191
check credentials with a token,AUTHENTICATION,none,192
account registration with email and password,AUTHENTICATION,none,193
the hotel api needs authentication,AUTHENTICATION,hotel,194
the book api needs authentication,AUTHENTICATION,book,194
the employee api needs authentication,AUTHENTICATION,employee,194
the customer api needs authentication,AUTHENTICATION,customer,194
